authors,year,baseline_year,"methodological 
method",title,include_yn,include_why,archive_name,KE,JR,JM,treatment_type,transfer_type,country,LMIC,population,female_share,age_range,age,all_n,treatment_n,control_n,intervention_code,intervention_des,outcome,outcome_category,outcome_negative,outcome_dummy,lumpsum,intervention_value,intervention_type,lumpsun_amount,member_des,member_amount,member_n,month_amount,months_n,duration_month,duration,index_with_components,depression_yn,information_requestes,standarized,t_treatment,treatment_effect,se_treatment_effect,end_mean_con,end_sd_con,end_mean_treatment,end_sd_treatment,bas_mean_treatment,bas_sd_treatment,bas_diff,bas_diff_sd,bas_pval,est_t,bas_mean_con,bas_sd_con,bas_mean_all,bas_sd_all,end_mean_all,end_sd_all,other_outcomes,gender_effects,notes,Assumptions,paper_sample,paper_treatment_effect,paper_standarization,paper_covariates,paper_intervention_value
Angeles et al.,2019,2013,RCT,Government of Malawi's unconditional cash transfer improves youth mental health.,Y,,Angeles_Hoop_19,Y,Y,,Cash Transfer,Unconditional,Malawi,1,"ultra-poor, labor constrainted household",0.00%,15 to 22,15.37,731,366,366,,"bi-monthly UCT equal to ~17%-23 of median baseline consumption over 2 years; monthly amount varied with household size (range: USD 3-7) & composition (USD 1 & 2 per primary & secondary school aged child, respectively); avg annual at midline 22310 MWK and avg annual at endline 25622 MWK",depression (CES-D),Depression,1,0,0,192,per_member,192,,,,8,24,24,2 years,0,Y,1,0,,-1.828,0.457,10.382,5.445,,,9.43,,,,0.06,-1.557,10.25,2.669,,,,,"education, health, consumption, caregiver quality of life, caregiver perceived stress, social support, casual labor",Y,"The SCTP has a substantive and statistically significant impact on youth mental health at endline. Based on the ANCOVA and DD specifications, youth in treatment clusters experienced a significant reduction in the CES-D score of about 1.6–2.0 points over the 11.5 point mean for the control group at endline (column (1)). The probability of suffering from depressive symptoms was reduced by about 10–15 percentage points or 17--24 percent (Column (4)). The program had a particularly strong effect on the mental health of females, for whom the CES-D score is about 2.3 points lower at endline compared to a mean of 12.6 for the control group (column (2)). Their probability of exhibiting symptoms of depression is reduced by about 15–16 percentage points (a reduction of about 22 percent, column (5)). Impacts on males depend on the specification. Point estimates based on the ANCOVA model are more pronounced than those based on the DD model (columns (3) and (6)). The ANCOVA suggests the program reduced summed CESD scores by 1.8 points (against a control mean of 10.5) and depressive symptoms by 14.5 percentage points (a reduction of 26 percent). These effects are similar to those for females. The DD point estimates, which correct for baseline imbalance, have the same sign but are smaller and not statistically significant.

Other interesting gender differences emerge from the DD results. There is a significant increase in both the CES-D score and the likelihood of depressive symptoms over time in the control group for females only (see the coefficients for “endline”, columns (2) and (5)). While gender differences in average mental health outcomes among youth aged 13 to 19 in the control group at baseline are small (compare the outcome means in Panel B and C of Table 21, column 3) and insignificant (with a p-value of 0.606 for CES-D and 0.727 for depressive symptoms), these differences increase substantially with youth age. By endline the gap is large, with CES-D scores of females exceeding those of males by approximately 2 points and symptoms of depression exceeding those of boys by 13 percentage points (p-values equal to 0), confirming that gender differences develop rapidly in this age range (Table 3, endline means for control). This pattern is consistent with the psychology literature discussed in the Appendix, which shows that gender differences in depression open up around age 13 and continue to widen during adolescence and after. The results shown in Table 3 indicate that the SCTP had a strong effect on youth mental health capable of offsetting the gender mental health gap by endline.",Age: midpoint. SD control group: using p-value and assuming same size sample between treatment and control,Table 3 and Figure 1,Table 3,-,Appendix Table 1,Table 1
Angeles et al.,2019,2013,RCT,Government of Malawi's unconditional cash transfer improves youth mental health.,Y,,Angeles_Hoop_19,Y,Y,,Cash Transfer,Unconditional,Malawi,1,"ultra-poor, labor constrainted household",0.00%,15 to 22,15.37,731,366,366,,"bi-monthly UCT equal to ~17%-23 of median baseline consumption over 2 years; monthly amount varied with household size (range: USD 3-7) & composition (USD 1 & 2 per primary & secondary school aged child, respectively); avg annual at midline 22310 MWK and avg annual at endline 25622 MWK",depressive symptoms (CES-D greater than or equal to 10),Depression,1,1,0,192,per_member,192,,,,8,24,24,2 years,0,Y,0,0,,-0.145,0.039,0.542,0.499,,,0.41,,,,0.03,-1.884,0.49,0.758,,,,,"education, health, consumption, caregiver quality of life, caregiver perceived stress, social support, casual labor",Y,"The SCTP has a substantive and statistically significant impact on youth mental health at endline. Based on the ANCOVA and DD specifications, youth in treatment clusters experienced a significant reduction in the CES-D score of about 1.6–2.0 points over the 11.5 point mean for the control group at endline (column (1)). The probability of suffering from depressive symptoms was reduced by about 10–15 percentage points or 17--24 percent (Column (4)). The program had a particularly strong effect on the mental health of females, for whom the CES-D score is about 2.3 points lower at endline compared to a mean of 12.6 for the control group (column (2)). Their probability of exhibiting symptoms of depression is reduced by about 15–16 percentage points (a reduction of about 22 percent, column (5)). Impacts on males depend on the specification. Point estimates based on the ANCOVA model are more pronounced than those based on the DD model (columns (3) and (6)). The ANCOVA suggests the program reduced summed CESD scores by 1.8 points (against a control mean of 10.5) and depressive symptoms by 14.5 percentage points (a reduction of 26 percent). These effects are similar to those for females. The DD point estimates, which correct for baseline imbalance, have the same sign but are smaller and not statistically significant.

Other interesting gender differences emerge from the DD results. There is a significant increase in both the CES-D score and the likelihood of depressive symptoms over time in the control group for females only (see the coefficients for “endline”, columns (2) and (5)). While gender differences in average mental health outcomes among youth aged 13 to 19 in the control group at baseline are small (compare the outcome means in Panel B and C of Table 21, column 3) and insignificant (with a p-value of 0.606 for CES-D and 0.727 for depressive symptoms), these differences increase substantially with youth age. By endline the gap is large, with CES-D scores of females exceeding those of males by approximately 2 points and symptoms of depression exceeding those of boys by 13 percentage points (p-values equal to 0), confirming that gender differences develop rapidly in this age range (Table 3, endline means for control). This pattern is consistent with the psychology literature discussed in the Appendix, which shows that gender differences in depression open up around age 13 and continue to widen during adolescence and after. The results shown in Table 3 indicate that the SCTP had a strong effect on youth mental health capable of offsetting the gender mental health gap by endline.",Age: midpoint. SD control group: using p-value and assuming same size sample between treatment and control,Table 3 and Figure 1,Table 3,-,Appendix Table 1,Table 1
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,791,407,384,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",49 - ¿en general estas satisfecho(a) contigo mismo(a)? 5,Happiness or Satisfaction,0,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,1.707,0.07,0.041,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,776,399,377,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",50 - ¿En algunas ocasiones piensas que no eres bueno(a) para nada?,Self-Esteem,1,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,-1,-0.088,0.088,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,785,403,382,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",51 - ¿Sientes que tienes algunas buenas cualidades?,Self-Esteem,0,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,0.278,0.015,0.054,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,787,404,383,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",52 - ¿Eres capaz de hacer las cosas tan bien como la mayoría de la gente?,Self-Esteem,0,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,-0.797,-0.047,0.059,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,778,400,378,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",53 - ¿Sientes que no tienes mucho de que sentirte orgulloso(a)?,Self-Esteem,1,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,-1.33,-0.133,0.1,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,772,397,375,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",54 - ¿De seguro que algunas veces te sientes inútil? 5,Self-Esteem,1,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,-1,-0.095,0.095,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,783,402,381,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",55 - ¿Sientes que eres una persona de valor al igual que otras?,Self-Esteem,0,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,1.157,0.081,0.07,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,781,401,380,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",56 - ¿Te gustaría tener más respeto contigo mismo(a)? 5,Self-Esteem,0,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,0.693,0.061,0.088,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,780,401,379,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",57 - ¿Te sientes inclinado(a) a pensar que eres un(a) fracasado(a) en todo?,Self-Esteem,1,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,0.576,0.053,0.092,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Lopez-boo,2019,2012,RA,"Cash, Conditions, and Child Development: Experimental Evidence from a Cash Transfer Program in Honduras",Y,,lopezboo_2019,,Y,Y,Cash Transfer,Conditional,Honduras,1,mothers of vulnerable households,100%,,,780,401,379,,"The CCT was structured as two types of transfers: the educational transfer (Bono Educacion) provided a monetary transfer to eligible households with at least one child between the ages of 6 and 18 years old who had not completed ninth grade, only if she or he was enrolled in school. In households with two or more children in that age group, the program only required one of them to fulfil the condition in order to receive the transfer. The educational transfer amounted to 10,000 lempiras (US$500) per year. entitled to the health transfer (Bono Salud), as long as there was a child aged 0 to 5-year-old in the household. The health component promoted demand for health services through an annual transfer of 5,000 lempiras (US$250), conditional on the child attending regular health check-ups, following Ministry of Health guidelines (at 1,2,3,6, 12 and 18 months and then once a year from age 2 onwards.",58 - ¿Tienes una actitud positiva hacia tu persona?,Self-Esteem,0,1,0,484.79,per_month,NA,,,,37.292,13,13,13 months,0,N,,0,1.912,0.13,0.068,,,,,,,,,,,,,,,,,,,,,Table A2 & Figure 1,Table A2,Is dummy,,"Page 4, paragraph 4 & 5"
Handa et al.,2014,2007,RCT,"Subjective Well-being, Risk Perceptions, and Time Discounting: Evidence from a Large-Scale Cash Transfer Programme",Y,,handa_14,Y,,Y,Cash Transfer,Unconditional,Kenya,1,ultra-poor households w/ orphan and vulnerable children,79%,,57.3,1805,1280,525,,USD 25 per month,Enjoy life,Happiness or Satisfaction,0,1,0,600,per_month,,,,,25,24,24,24 months,0,N,,0,2.24,0.072,0.032,,,,,,,,,,,,,,,,,,,Linear probability OLS with robust standard errors & probability weights,,Table 9,Table 9,-,Table 2,"Page 7, paragraph 4"
Handa et al.,2014,2007,RCT,"Subjective Well-being, Risk Perceptions, and Time Discounting: Evidence from a Large-Scale Cash Transfer Programme",Y,,handa_14,Y,,Y,Cash Transfer,Unconditional,Kenya,1,ultra-poor households w/ orphan and vulnerable children,79%,,57.3,1805,1280,525,,USD 25 per month,Positive Feelings,Happiness or Satisfaction,0,1,0,600,per_month,,,,,25,24,24,24 months,0,N,,0,1.87,0.056,0.03,,,,,,,,,,,,,,,,,,,Linear probability OLS with robust standard errors & probability weights,,Table 9,Table 9,-,Table 2,"Page 7, paragraph 4"
Handa et al.,2014,2007,RCT,"Subjective Well-being, Risk Perceptions, and Time Discounting: Evidence from a Large-Scale Cash Transfer Programme",Y,,handa_14,Y,,Y,Cash Transfer,Unconditional,Kenya,1,ultra-poor households w/ orphan and vulnerable children,79%,,57.3,1805,1280,525,,USD 25 per month,Future Feelings,Other,0,1,0,600,per_month,,,,,25,24,24,24 months,0,N,,0,1.96,0.062,0.032,,,,,,,,,,,,,,,,,,,Linear probability OLS with robust standard errors & probability weights,,Table 9,Table 9,-,Table 2,"Page 7, paragraph 4"
Handa et al.,2014,2007,RCT,"Subjective Well-being, Risk Perceptions, and Time Discounting: Evidence from a Large-Scale Cash Transfer Programme",Y,,handa_14,Y,,Y,Cash Transfer,Unconditional,Kenya,1,ultra-poor households w/ orphan and vulnerable children,79%,,57.3,1805,1280,525,,USD 25 per month,Health Satisfaction,Other,0,1,0,600,per_month,,,,,25,24,24,24 months,0,N,,0,1.17,0.037,0.031,,,,,,,,,,,,,,,,,,,Linear probability OLS with robust standard errors & probability weights,,Table 9,Table 9,-,Table 2,"Page 7, paragraph 4"
Handa et al.,2014,2007,RCT,"Subjective Well-being, Risk Perceptions, and Time Discounting: Evidence from a Large-Scale Cash Transfer Programme",Y,,handa_14,Y,,Y,Cash Transfer,Unconditional,Kenya,1,ultra-poor households w/ orphan and vulnerable children,79%,,57.3,1804,1280,525,,USD 25 per month,Life Satisfaction,Happiness or Satisfaction,0,1,0,600,per_month,,,,,25,24,24,24 months,0,N,,0,1.76,0.056,0.032,,,,,,,,,,,,,,,,,,,Linear probability OLS with robust standard errors & probability weights,,Table 9,Table 9,-,Table 2,"Page 7, paragraph 4"
Handa et al.,2014,2007,RCT,"Subjective Well-being, Risk Perceptions, and Time Discounting: Evidence from a Large-Scale Cash Transfer Programme",Y,,handa_14,Y,,Y,Cash Transfer,Unconditional,Kenya,1,ultra-poor households w/ orphan and vulnerable children,79%,,57.3,1805,1280,525,,USD 25 per month,Overall Quality of Life,Other,0,0,0,600,per_month,,,,,25,24,24,24 months,1,N,,0,2.51,0.763,0.304,,,,,,,,,,,,,,,,,,,Linear probability OLS with robust standard errors & probability weights,,Table 9,Table 9,-,Table 2,"Page 7, paragraph 4"
Paxson & Schady,2010,2003,Random Assignment,Does money matter ? The effects of cash transfers on child health and development in rural Ecuador,Y,,Paxson_10,,Y,,Cash Transfer,Unconditional,Ecuador,1,mothers 1st quartile,100%,Around 24,24,915,610,305,,CT,depressive symptoms (CES-D),Depression,0,,0,255,,255,,,,15,17,17,17 months,0,Y,,1,,0.212,0.163,,,,,,,,,,,,,,,,,"nutrition, health care, parenting",N,z-scored treatment effect,,Table 8,Table 8,standardized,"page 195, paragraph 1","page 188, paragraph 2"
Paxson & Schady,2010,2003,Random Assignment,Does money matter ? The effects of cash transfers on child health and development in rural Ecuador,Y,,Paxson_10,,Y,,Cash Transfer,Unconditional,Ecuador,1,mothers 1st quartile,100%,Around 24,24,1046,697,349,,CT,perceived stress (cohen),Stress,0,,0,255,,255,,,,15,17,17,17 months,0,N,,1,,-0.034,0.114,,,,,,,,,,,,,,,,,"nutrition, health care, parenting",N,z-scored treatment effect,,Table 8,Table 8,standardized,"page 195, paragraph 1","page 188, paragraph 2"
Paxson & Schady,2010,2003,Random Assignment,Does money matter ? The effects of cash transfers on child health and development in rural Ecuador,Y,,Paxson_10,,Y,,Cash Transfer,Unconditional,Ecuador,1,mothers top 3 quartiles,100%,Around 24,24,915,610,305,,CT,depressive symptoms (CES-D),Depression,0,,0,255,,255,,,,15,17,17,17 months,0,Y,,1,,-0.002,0.085,,,,,,,,,,,,,,,,,"nutrition, health care, parenting",N,z-scored treatment effect,,Table 8,Table 8,standardized,"page 195, paragraph 1","page 188, paragraph 2"
Paxson & Schady,2010,2003,Random Assignment,Does money matter ? The effects of cash transfers on child health and development in rural Ecuador,Y,,Paxson_10,,Y,,Cash Transfer,Unconditional,Ecuador,1,mothers top 3 quartiles,100%,Around 24,24,1046,697,349,,CT,perceived stress (cohen),Stress,0,,0,255,,255,,,,15,17,17,17 months,0,N,,1,,-0.074,0.082,,,,,,,,,,,,,,,,,"nutrition, health care, parenting",N,z-scored treatment effect,,Table 8,Table 8,standardized,"page 195, paragraph 1","page 188, paragraph 2"
Powell-Jackson et al.,2016,2015,Matched DD,"Cash transfers, maternal depression and emotional well-being: Quasi- experimental evidence from India’s Janani Suraksha Yojana programme",Y,,powell_16,,Y,,Cash Transfer,Unconditional,India,1,women giving birth,100%,15 to 49,25.9,1695,1589,106,,"In Uttar
Pradesh, the setting of this study, women are offered 1400 INR in
rural areas and 1000 INR in urban areas.",maternal depression,Depression,1,,1,15,,,,,,,,11,11 months,0,Y,,0,-2.055,-1.3,0.633,14.7,6.2,13.4,5,,,,,,,,,,,,,,,,,Figure 1,Table 1,Table 1,"Appendix, Table A1","Page 211, paragraph 2"
Powell-Jackson et al.,2016,2015,Matched DD,"Cash transfers, maternal depression and emotional well-being: Quasi- experimental evidence from India’s Janani Suraksha Yojana programme",Y,,powell_16,,Y,,Cash Transfer,Unconditional,India,1,women giving birth,100%,15 to 49,25.9,1695,1589,106,,"In Uttar Pradesh, the setting of this study, women are offered 1400 INR in rural areas and 1000 INR in urban areas.",happy,Happiness or Satisfaction,0,,1,15,,,,,,,,11,11 months,0,N,,0,-0.536,0.2,0.373,3.4,1.1,3.6,1.2,,,,,,,,,,,,,,,,,Figure 1,Table 1,Table 1,"Appendix, Table A1","Page 211, paragraph 2"
Powell-Jackson et al.,2016,2015,Matched DD,"Cash transfers, maternal depression and emotional well-being: Quasi- experimental evidence from India’s Janani Suraksha Yojana programme",Y,,powell_16,,Y,,Cash Transfer,Unconditional,India,1,women giving birth,100%,15 to 49,25.9,1695,1589,106,,"In Uttar Pradesh, the setting of this study, women are offered 1400 INR in rural areas and 1000 INR in urban areas.",worried,Anxiety,1,,1,15,,,,,,,,11,11 months,0,N,,0,-0.653,-0.1,0.153,1.8,1,1.7,0.9,,,,,,,,,,,,,,,,,Figure 1,Table 1,Table 1,"Appendix, Table A1","Page 211, paragraph 2"
Powell-Jackson et al.,2016,2015,Matched DD,"Cash transfers, maternal depression and emotional well-being: Quasi- experimental evidence from India’s Janani Suraksha Yojana programme",Y,,powell_16,,Y,,Cash Transfer,Unconditional,India,1,women giving birth,100%,15 to 49,25.9,1695,1589,106,,"In Uttar Pradesh, the setting of this study, women are offered 1400 INR in rural areas and 1000 INR in urban areas.",depressed,Depression,1,,1,15,,,,,,,,11,11 months,0,Y,,0,-1.897,-0.2,0.105,1.8,0.9,1.6,0.9,,,,,,,,,,,,,,,,,Figure 1,Table 1,Table 1,"Appendix, Table A1","Page 211, paragraph 2"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,internal locus of control,None,0,,0,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,-0.08,0.1,0.02,1.03,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,internal locus of control,None,0,,1,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,-0.17,0.1,0.02,1.03,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,log cortisol,Stress,1,,0,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,-0.14,0.06,2.49,0.67,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 7,Table 7,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,log cortisol,Stress,1,,1,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,-0.02,0.07,2.49,0.67,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 7,Table 7,-,"Page 3, paragraph 2 and 3"
